	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu173	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Sphingomonadales	100	Sphingomonadaceae	100	Sphingomonas	100
Otu37	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Blautia	74
Otu17	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Agathobacter	56
Otu211	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Dorea	67
Otu164	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Anaerotaenia	14
Otu32	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Ruminococcus2	29
Otu220	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Duncaniella	73
Otu188	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	99	Lactobacillaceae	99	Lactobacillus	87
Otu178	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhizobiales	100	Methylobacteriaceae	100	Methylobacterium	100
Otu16	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	19
Otu206	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Faecalibacterium	100
Otu179	Bacteria	100	Proteobacteria	100	Alphaproteobacteria	100	Rhodospirillales	100	Acetobacteraceae	100	Belnapia	43
Otu207	Bacteria	100	Fusobacteria	100	Fusobacteriia	100	Fusobacteriales	100	Fusobacteriaceae	100	Fusobacterium	100
Otu212	Bacteria	100	Actinobacteria	100	Actinobacteria	100	Mycobacteriales	100	Corynebacteriaceae	100	Corynebacterium	100
