OTU1278	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	1;1;1;1;1;1
OTU3385	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	1;1;1;1;0.995368;0.99535
OTU924	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XI. Incertae Sedis	1;0.741484;0.741484;0.556495;0.44809
OTU152	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	1;1;1;1;1;0.851668
OTU2889	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;Lactonifactor longoviformis	1;1;1;1;0.398392;0.398392;0.398392
OTU620	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	1;1;1;1;1
OTU3348	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;1;1;1;1
OTU3181	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans	1;1;1;1;1;1;0.999878
OTU2861	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;1;1;1;1
OTU1807	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiliaceae	1;1;1;1;0.798728
OTU349;OTU284	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales Family XIII. Incertae Sedis;Mogibacterium;Mogibacterium vescum	2;2;2;2;1.99993;1.00655;1.00655
OTU1779	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;Oscillibacter valericigenes	1;1;1;1;0.999939;0.999939;0.999939
OTU3885	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1;1;1;1;1
OTU625	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	1;1;1;1;1;1
OTU1041	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	1;1;1;1;1;1
OTU993	Bacteria;Firmicutes;Clostridia;Clostridiales	1;1;1;1
