Otu,Domain,Phylum,Order,Class,Family,Genus,Species
Otu1231,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1236,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,[Eubacterium] oxidoreducens group,na
Otu1247,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1248,Bacteria,Bacteroidota,na,Bacteroidia,na,na,na
Otu1249,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu125,Bacteria,Firmicutes,Lactobacillales,Bacilli,na,na,na
Otu126,Bacteria,Firmicutes,na,na,na,na,na
Otu1265,Bacteria,Actinobacteriota,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,na
Otu127,Bacteria,Firmicutes,Oscillospirales,Clostridia,Oscillospiraceae,UCG-002,na
Otu1272,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu128,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,[Eubacterium] ruminantium group,na
Otu1281,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1292,Bacteria,Firmicutes,na,na,na,na,na
Otu13,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Blautia,masiliensis
Otu130,Bacteria,Firmicutes,Clostridia UCG-014,Clostridia,na,na,na
Otu1307,Bacteria,Firmicutes,Clostridia UCG-014,Clostridia,na,na,na
Otu1308,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1312,Bacteria,na,na,na,na,na,na
Otu1320,Bacteria,na,na,na,na,na,na
Otu1328,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1330,Bacteria,Firmicutes,na,na,na,na,na
Otu1332,Bacteria,na,na,na,na,na,na
Otu1339,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae NC2004 group,na
Otu135,Bacteria,Firmicutes,Clostridia UCG-014,Clostridia,na,na,na
Otu1357,Bacteria,Firmicutes,Veillonellales-Selenomonadales,Negativicutes,Selenomonadaceae,na,na
Otu1360,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1361,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1369,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu138,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,Coriobacteriales Incertae Sedis,na,na
Otu1385,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,[Eubacterium] oxidoreducens group,na
Otu1397,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,Eggerthellaceae,Enterorhabdus,na
Otu14,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Roseburia,inulinivorans
Otu1405,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,na,na
Otu1406,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1408,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu141,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1413,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu142,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1423,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu143,Bacteria,Firmicutes,Oscillospirales,Clostridia,Butyricicoccaceae,Butyricicoccus,na
Otu1438,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu144,Bacteria,Bacteroidota,Bacteroidales,Bacteroidia,Barnesiellaceae,Coprobacter,na
Otu1440,Bacteria,na,na,na,na,na,na
Otu1442,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1446,Bacteria,na,na,na,na,na,na
Otu1450,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1452,Bacteria,na,na,na,na,na,na
Otu1458,Bacteria,na,na,na,na,na,na
Otu146,Bacteria,Firmicutes,Christensenellales,Clostridia,Christensenellaceae,Christensenellaceae R-7 group,na
Otu1460,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1473,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,na,na,na
Otu148,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelotrichaceae,Faecalitalea,na
Otu1489,Bacteria,Actinobacteriota,na,Coriobacteriia,na,na,na
Otu149,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Frisingicoccus,na
Otu1495,Bacteria,na,na,na,na,na,na
Otu1496,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,[Eubacterium] eligens group,na
Otu1499,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu15,Bacteria,Firmicutes,Acidaminococcales,Negativicutes,Acidaminococcaceae,Acidaminococcaceae,na
Otu1506,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelatoclostridiaceae,Erysipelotrichaceae UCG-003,na
Otu1509,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu151,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Faecalibacterium,na
Otu1518,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Anaerotruncus,na
Otu1519,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,na,na,na
Otu1539,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,Eggerthellaceae,na,na
Otu1544,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1547,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Shuttleworthia,na
Otu1548,Bacteria,Actinobacteriota,na,Actinobacteria,na,na,na
Otu1549,Bacteria,na,na,na,na,na,na
Otu155,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1551,Bacteria,na,na,na,na,na,na
Otu1552,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1553,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1557,Bacteria,na,na,na,na,na,na
Otu156,Bacteria,Firmicutes,Hungateiclostridiaceae,Clostridia,UCG-012,na,na
Otu1564,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae UCG-001,na
Otu157,Bacteria,Firmicutes,Oscillospirales,Clostridia,Oscillospiraceae,Colidextribacter,na
Otu1571,Bacteria,Firmicutes,Desulfitobacteriales,Desulfitobacteriia,Desulfitobacteriaceae,Desulfosporosinus,na
Otu1576,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1578,Bacteria,Actinobacteriota,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,na
Otu158,Bacteria,Firmicutes,Veillonellales-Selenomonadales,Negativicutes,Veillonellaceae,Megasphaera,na
Otu1585,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1591,Bacteria,na,na,na,na,na,na
Otu1599,Bacteria,Firmicutes,na,na,na,na,na
Otu16,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Dorea,longicatena
Otu160,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,Eggerthellaceae,Eggerthella,na
Otu1610,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelatoclostridiaceae,Erysipelotrichaceae UCG-003,na
Otu1612,Bacteria,Firmicutes,Acidaminococcales,Negativicutes,Acidaminococcaceae,Phascolarctobacterium,na
Otu1624,Bacteria,Actinobacteriota,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,na
Otu1628,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu163,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1631,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Phocea,na
Otu1636,Bacteria,na,na,na,na,na,na
Otu164,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Butyrivibrio,na
Otu1646,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1651,Bacteria,na,na,na,na,na,na
Otu166,Bacteria,Firmicutes,Veillonellales-Selenomonadales,Negativicutes,na,na,na
Otu1662,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Shuttleworthia,na
Otu1666,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu167,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnoclostridium,na
Otu1678,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Pseudobutyrivibrio,na
Otu1684,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,na,na
Otu1689,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Shuttleworthia,na
Otu169,Bacteria,Firmicutes,Oscillospirales,Clostridia,Oscillospiraceae,Intestinimonas,na
Otu1690,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1692,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1693,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu17,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Roseburia,faecis/torques
Otu170,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1700,Bacteria,Actinobacteriota,na,Actinobacteria,na,na,na
Otu1704,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1710,Bacteria,Firmicutes,na,na,na,na,na
Otu1717,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,[Eubacterium] eligens group,na
Otu1724,Bacteria,na,na,na,na,na,na
Otu1735,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu174,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1747,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Faecalibacterium,na
Otu175,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Catonella,na
Otu1751,Bacteria,Actinobacteriota,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,na
Otu177,Bacteria,Firmicutes,Lactobacillales,Bacilli,na,na,na
Otu1770,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,[Eubacterium] oxidoreducens group,na
Otu1777,Bacteria,na,na,na,na,na,na
Otu178,Bacteria,Actinobacteriota,Actinomycetales,Actinobacteria,Actinomycetaceae,Actinomyces,na
Otu1781,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1786,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospira,na
Otu1787,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu18,Bacteria,Bacteroidota,Bacteroidales,Bacteroidia,Bacteroidaceae,Bacteroides,na
Otu180,Bacteria,Firmicutes,Clostridia UCG-014,Clostridia,na,na,na
Otu181,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu182,Bacteria,Firmicutes,Clostridia UCG-014,Clostridia,na,na,na
Otu183,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1835,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,Coriobacteriaceae,Collinsella,na
Otu1841,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,na,na
Otu1846,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1850,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1856,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu186,Bacteria,Firmicutes,Lactobacillales,Bacilli,Streptococcaceae,Streptococcus,na
Otu1862,Bacteria,Firmicutes,Christensenellales,Clostridia,Christensenellaceae,Catabacter,na
Otu1864,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1868,Bacteria,Firmicutes,Lachnospirales,Clostridia,na,na,na
Otu1871,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1872,Bacteria,na,na,na,na,na,na
Otu188,Bacteria,Firmicutes,Peptostreptococcales-Tissierellales,Clostridia,Peptostreptococcaceae,Terrisporobacter,na
Otu1888,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu189,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,UCG-001,na
Otu1907,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1908,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Shuttleworthia,na
Otu1909,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu191,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1915,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1916,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1927,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Shuttleworthia,na
Otu193,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1940,Bacteria,na,na,na,na,na,na
Otu1942,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1959,Bacteria,na,na,na,na,na,na
Otu1962,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1969,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1971,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu1985,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu1992,Bacteria,Firmicutes,na,na,na,na,na
Otu1993,Bacteria,na,na,na,na,na,na
Otu1996,Bacteria,na,na,na,na,na,na
Otu1999,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae AC2044 group,na
Otu2,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Faecalibacterium,prausnitzii
Otu20,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,Coriobacteriaceae,Colinsella,aerofaciens
Otu200,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,na,na
Otu2012,Bacteria,Actinobacteriota,na,na,na,na,na
Otu2024,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2025,Bacteria,na,na,na,na,na,na
Otu2029,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2032,Bacteria,na,na,na,na,na,na
Otu2034,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2038,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2039,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2051,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2055,Bacteria,Firmicutes,Oscillospirales,Clostridia,na,na,na
Otu2056,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu206,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2061,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2064,Bacteria,Actinobacteriota,na,Coriobacteriia,na,na,na
Otu2066,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelatoclostridiaceae,Erysipelatoclostridium,na
Otu2068,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu207,Bacteria,Firmicutes,Peptostreptococcales-Tissierellales,Clostridia,Anaerovoracaceae,Family XIII AD3011 group,na
Otu2080,Bacteria,Firmicutes,Oscillospirales,Clostridia,na,na,na
Otu2088,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu21,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelatoclostridiaceae,Erysipelotrichaceae,UCG-003
Otu2100,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2101,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu2104,Bacteria,Firmicutes,Oscillospirales,Clostridia,na,na,na
Otu2115,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,[Eubacterium] hallii group,na
Otu2119,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu2120,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Phocea,na
Otu2121,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2127,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2139,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2142,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2143,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu215,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Angelakisella,na
Otu2156,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2158,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu216,Bacteria,Firmicutes,Peptostreptococcales-Tissierellales,Clostridia,Anaerovoracaceae,[Eubacterium] brachy group,na
Otu2167,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2170,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2192,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,UCG-001,na
Otu220,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelatoclostridiaceae,Candidatus Stoquefichus,na
Otu2200,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2207,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu221,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2222,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu223,Bacteria,Firmicutes,Lactobacillales,Bacilli,Lactobacillaceae,Lactobacillus,na
Otu2231,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2234,Bacteria,Firmicutes,na,na,na,na,na
Otu224,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,na,na
Otu2249,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2256,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2264,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2266,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelatoclostridiaceae,Erysipelotrichaceae UCG-003,na
Otu2268,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Ruminococcus,na
Otu227,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelotrichaceae,Turicibacter,na
Otu228,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2287,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu229,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Tyzzerella,na
Otu2293,Bacteria,Firmicutes,na,na,na,na,na
Otu23,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Blautia,faecis/phocaeensis
Otu2305,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2308,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,Paludicola,na
Otu231,Bacteria,Cyanobacteria,Chloroplast,Cyanobacteriia,na,na,na
Otu2319,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2323,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu2326,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Shuttleworthia,na
Otu233,Bacteria,Firmicutes,Erysipelotrichales,Bacilli,Erysipelatoclostridiaceae,Candidatus Stoquefichus,na
Otu2338,Bacteria,Actinobacteriota,Bifidobacteriales,Actinobacteria,Bifidobacteriaceae,Bifidobacterium,na
Otu234,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2349,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2357,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu236,Bacteria,Actinobacteriota,Coriobacteriales,Coriobacteriia,Eggerthellaceae,na,na
Otu2363,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu237,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Catenibacillus,na
Otu2375,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu238,Bacteria,Firmicutes,Clostridiales,Clostridia,Clostridiaceae,na,na
Otu2392,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu24,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Anaerostipes,hadrus
Otu2411,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu242,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae NK4A136 group,na
Otu244,Bacteria,Firmicutes,na,Clostridia,na,na,na
Otu2441,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnospiraceae XPB1014 group,na
Otu2443,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2451,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2455,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
Otu2456,Bacteria,na,na,na,na,na,na
Otu246,Bacteria,Firmicutes,Clostridia UCG-014,Clostridia,na,na,na
Otu2466,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,Lachnoclostridium,na
Otu2467,Bacteria,Firmicutes,Oscillospirales,Clostridia,na,na,na
Otu2470,Bacteria,Firmicutes,Oscillospirales,Clostridia,Ruminococcaceae,UCG-001,na
Otu2472,Bacteria,Firmicutes,Lachnospirales,Clostridia,Lachnospiraceae,na,na
