	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu70	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Ruminococcus2	32.0
Otu136	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	32.0
Otu16	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	89	Falcatimonas	14.0
Otu105	Bacteria	99	Firmicutes	79	Clostridia	73	Clostridiales	72	Clostridiales_Incertae Sedis XIII	13	Ihubacter	11.0
Otu94	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Flintibacter	57.0
Otu41	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	92	Clostridium IV	41.0
Otu83	Bacteria	100	Firmicutes	69	Clostridia	60	Clostridiales	60	Clostridiales_Incertae Sedis XII	16	Guggenheimella	16.0
Otu51	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Flintibacter	100.0
Otu124	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Paludicola	28.0
Otu224	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	99	Ruminococcaceae	85	Sporobacter	45.0
Otu131	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Lachnospiracea_incertae_sedis	59.0
Otu76	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Ruminococcus	80.0
Otu113	Bacteria	100	Firmicutes	85	Clostridia	62	Clostridiales	48	Lachnospiraceae	26	Robinsoniella	6.0
Otu115	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	97	Hydrogenoanaerobacterium	39.0
Otu139	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	93	Sellimonas	35.0
Otu49	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Blautia	74.0
Otu88	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Enterocloster	28.0
Otu50	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	94	Intestinimonas	78.0
Otu149	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Dorea	33.0
Otu73	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	94	Lachnospira	23.0
Otu84	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Cuneatibacter	32.0
Otu203	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Merdimonas	25.0
Otu118	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Cuneatibacter	27.0
Otu2	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Lactobacillaceae	100	Lactobacillus	98.0
Otu24	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	98	Ruminococcus2	41.0
Otu103	Bacteria	100	Firmicutes	87	Clostridia	82	Clostridiales	81	Lachnospiraceae	36	Abyssivirga	9.0
Otu128	Bacteria	100	Firmicutes	74	Clostridia	61	Clostridiales	61	Lachnospiraceae	42	Cuneatibacter	3.0
Otu256	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Pseudoflavonifractor	61.0
Otu209	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Anaerosporobacter	11.0
Otu78	Bacteria	100	Firmicutes	93	Clostridia	91	Clostridiales	91	Lachnospiraceae	90	Marvinbryantia	26.0
Otu138	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Streptococcaceae	100	Streptococcus	100.0
Otu79	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	99	Phocea	60.0
Otu148	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	92	Acetitomaculum	18.0
Otu77	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Lachnotalea	32.0
Otu59	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	98	Acetatifactor	96.0
Otu174	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Ruminococcus2	32.0
Otu29	Bacteria	100	Actinobacteria	100	Coriobacteriia	100	Eggerthellales	100	Eggerthellaceae	100	Adlercreutzia	100.0
Otu65	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	99	Lachnospiraceae	98	Marvinbryantia	68.0
Otu56	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	94	Sporobacter	54.0
Otu176	Bacteria	100	Firmicutes	70	Clostridia	64	Clostridiales	64	Clostridiales_Incertae Sedis XII	25	Guggenheimella	25.0
Otu279	Bacteria	100	Firmicutes	93	Clostridia	93	Clostridiales	93	Lachnospiraceae	92	Acetatifactor	77.0
Otu22	Bacteria	100	Firmicutes	100	Erysipelotrichia	100	Erysipelotrichales	100	Erysipelotrichaceae	99	Longibaculum	87.0
Otu89	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Dysosmobacter	99.0
Otu236	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Dorea	56.0
Otu109	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	94.0
Otu252	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Dorea	77.0
Otu81	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Ruminococcus2	20.0
Otu278	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Faecalimonas	23.0
Otu68	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Enterocloster	42.0
Otu100	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Intestinimonas	98.0
Otu202	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Anaerotignum	100.0
Otu173	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Agathobacter	20.0
Otu8	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Faecalicatena	51.0
