	Kingdom	Phylum	Class	Order	Family	Genus
Otu430	Bacteria	Firmicutes	Clostridia			
Otu434	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	
Otu435	Unclassified					
Otu438	Bacteria	Firmicutes	Clostridia			
Otu439	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostignum
Otu44	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group
Otu440	Bacteria	Firmicutes	Clostridia			
Otu441	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu442	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu443	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu445	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
Otu447	Bacteria	Firmicutes	Bacilli	RF39		
Otu449	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	
Otu45	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu450	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu452	Unclassified					
Otu453	Unclassified					
Otu456	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu457	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	
Otu459	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu46	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
Otu461	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu463	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu464	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales		
Otu467	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus
Otu468	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu47	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	[Eubacterium] hallii group
Otu470	Unclassified					
Otu471	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
Otu475	Bacteria	Firmicutes				
Otu476	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	uncultured
Otu48	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu484	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	
Otu485	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Senegalimassilia
Otu487	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter
Otu489	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	uncultured
Otu49	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospira
Otu493	Unclassified					
Otu494	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-004
Otu5	Bacteria	Firmicutes	Bacilli			
Otu50	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu500	Unclassified					
Otu501	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu502	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu503	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu506	Unclassified					
Otu507	Bacteria	Firmicutes	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitaleaceae UCG-011
Otu510	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	
Otu512	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu513	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	
Otu518	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu52	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu524	Unclassified					
Otu525	Unclassified					
Otu526	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu527	Unclassified					
Otu528	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	
Otu53	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu530	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	
Otu532	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu533	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	uncultured
Otu534	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Otu536	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu539	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Otu54	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus
Otu540	Unclassified					
Otu541	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu543	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Peptostreptococcus
Otu544	Unclassified					
Otu546	Unclassified					
Otu548	Unclassified					
Otu55	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter
Otu551	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu553	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	
Otu554	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu556	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu558	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu56	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	
Otu560	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales		
Otu563	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	
Otu565	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NC2004 group
Otu567	Bacteria	Firmicutes	Clostridia			
Otu569	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	uncultured
Otu57	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia
Otu573	Bacteria	Firmicutes	Clostridia	Oscillospirales	UCG-010	
Otu576	Unclassified					
Otu579	Bacteria	Firmicutes	Clostridia			
Otu58	Bacteria	Bacteroidota	Bacteroidia			
Otu583	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu584	Unclassified					
Otu585	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu59	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu593	Unclassified					
Otu597	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu598	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu6	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu60	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus
Otu603	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu604	Unclassified					
Otu605	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu608	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Anaerofilum
Otu609	Bacteria					
Otu61	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium
Otu618	Bacteria	Firmicutes	Clostridia			
Otu619	Unclassified					
Otu62	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu625	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	uncultured
Otu626	Unclassified					
Otu63	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	
Otu634	Unclassified					
Otu636	Unclassified					
Otu637	Unclassified					
Otu638	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium
Otu639	Unclassified					
Otu64	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Otu641	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu643	Bacteria	Firmicutes	Clostridia			
Otu645	Unclassified					
Otu646	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu65	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014		
Otu66	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
