Otu,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu394,Bacteria,1,Firmicutes,0.81,Clostridia,0.73,Clostridiales,0.73,Lachnospiraceae,0.68,Enterocloster,0.3
Otu388,Bacteria,1,Actinobacteria,1,Actinobacteria,1,Mycobacteriales,1,Mycobacteriaceae,1,Mycobacterium,1
Otu392,Bacteria,1,Firmicutes,0.98,Bacilli,0.98,Lactobacillales,0.97,Streptococcaceae,0.95,Streptococcus,0.95
Otu397,Bacteria,0.99,Bacteroidetes,0.22,Actinobacteria,0.15,Spirochaetales,0.11,Flavobacteriaceae,0.11,Leptotrichia,0.07
Otu399,Bacteria,0.86,Bacteroidetes,0.32,Flavobacteriia,0.21,Flavobacteriales,0.21,Flavobacteriaceae,0.2,Lactobacillus,0.1
Otu398,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.99,Enterocloster,0.98
Otu396,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.82,Lachnospiracea_incertae_sedis,0.75
Otu400,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.94,Anaerostipes,0.69
Otu402,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.89,Lachnobacterium,0.48
Otu395,Bacteria,1,Firmicutes,1,Clostridia,0.98,Clostridiales,0.98,Lachnospiraceae,0.83,Syntrophococcus,0.64
Otu404,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Roseburia,0.82
Otu403,Bacteria,1,Firmicutes,0.97,Clostridia,0.96,Clostridiales,0.96,Lachnospiraceae,0.88,Coprococcus,0.21
Otu401,Bacteria,1,Firmicutes,0.51,Clostridia,0.51,Clostridiales,0.51,Marinilabiliaceae,0.29,Carboxylicivirga,0.29
Otu407,Bacteria,1,Bacteroidetes,0.45,Bacteroidia,0.22,Bacteroidales,0.22,Prevotellaceae,0.1,Prevotella,0.1
Otu409,Bacteria,1,Bacteroidetes,0.8,Bacteroidia,0.38,Bacteroidales,0.38,Bacteroidaceae,0.36,Bacteroides,0.26
Otu412,Bacteria,1,Proteobacteria,0.25,Alphaproteobacteria,0.2,Caulobacterales,0.15,Hyphomonadaceae,0.15,Microgenomates_genera_incertae_sedis,0.16
