Otu,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu622,Bacteria,1,Proteobacteria,0.37,Gammaproteobacteria,0.15,Chitinophagales,0.13,Chitinophagaceae,0.13,Parcubacteria_genera_incertae_sedis,0.14
Otu624,Bacteria,0.97,Proteobacteria,0.44,Betaproteobacteria,0.24,Burkholderiales,0.24,Bacteroidaceae,0.19,Bacteroides,0.19
Otu621,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.39,Clostridium_sensu_stricto,0.23
Otu626,Bacteria,0.88,Thermotogae,0.43,Thermotogae,0.43,Petrotogales,0.43,Petrotogaceae,0.43,Geotoga,0.27
Otu628,Bacteria,0.83,Bacteroidetes,0.25,Erysipelotrichia,0.11,Erysipelotrichales,0.11,Erysipelotrichaceae,0.11,Candidatus_Nanosalina,0.09
Otu625,Bacteria,1,Firmicutes,0.72,Clostridia,0.69,Clostridiales,0.69,Lachnospiraceae,0.5,Cellulosilyticum,0.45
Otu627,Bacteria,1,Firmicutes,0.89,Clostridia,0.88,Clostridiales,0.88,Ruminococcaceae,0.63,Oscillibacter,0.6
Otu623,Bacteria,1,Firmicutes,0.91,Bacilli,0.78,Lactobacillales,0.76,Lactobacillaceae,0.75,Latilactobacillus,0.29
Otu629,Bacteria,1,Firmicutes,0.95,Erysipelotrichia,0.79,Erysipelotrichales,0.79,Erysipelotrichaceae,0.79,Catenisphaera,0.42
Otu631,Bacteria,1,Verrucomicrobia,0.88,Verrucomicrobiae,0.77,Verrucomicrobiales,0.77,Akkermansiaceae,0.77,Akkermansia,0.77
Otu630,Bacteria,1,Firmicutes,1,Clostridia,0.63,Clostridiales,0.63,Lachnospiraceae,0.62,Lactococcus,0.34
Otu634,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Coprococcus,0.68
Otu636,Archaea,0.58,Crenarchaeota,0.36,Thermoprotei,0.36,Thermoproteales,0.21,Thermoproteaceae,0.18,Pyrobaculum,0.16
Otu633,Bacteria,1,Chlamydiae,0.92,Chlamydiia,0.92,Chlamydiales,0.92,Parachlamydiaceae,0.9,Neochlamydia,0.71
Otu632,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Pseudomonadales,1,Pseudomonadaceae,1,Pseudomonas,1
Otu639,Bacteria,1,Firmicutes,0.73,Clostridia,0.4,Clostridiales,0.39,Lachnospiraceae,0.19,Paenibacillus,0.18
Otu635,Bacteria,1,Firmicutes,0.74,Erysipelotrichia,0.69,Erysipelotrichales,0.69,Erysipelotrichaceae,0.69,Allobaculum,0.58
Otu637,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Mediterraneibacter,0.53
Otu640,Bacteria,0.94,Proteobacteria,0.48,Gammaproteobacteria,0.44,Enterobacterales,0.11,Lactobacillaceae,0.11,Gilvimarinus,0.09
Otu638,Bacteria,1,Firmicutes,0.97,Erysipelotrichia,0.72,Erysipelotrichales,0.72,Erysipelotrichaceae,0.72,Allobaculum,0.69
Otu642,Bacteria,0.93,Bacteroidetes,0.27,Sphingobacteriia,0.18,Sphingobacteriales,0.18,Sphingobacteriaceae,0.18,Candidatus_Scalindua,0.11
Otu641,Bacteria,1,Firmicutes,1,Clostridia,0.52,Clostridiales,0.52,Lachnospiraceae,0.52,Roseburia,0.5
Otu643,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.85,Bacteroidales,0.85,Dysgonomonadaceae,0.35,Dysgonomonas,0.35
Otu648,Bacteria,0.98,Bacteroidetes,0.93,Bacteroidia,0.93,Bacteroidales,0.93,Muribaculaceae,0.86,Muribaculum,0.81
Otu644,Bacteria,1,Bacteroidetes,0.95,Bacteroidia,0.92,Bacteroidales,0.92,Odoribacteraceae,0.47,Odoribacter,0.47
Otu647,Bacteria,0.9,Actinobacteria,0.42,Coriobacteriia,0.41,Eggerthellales,0.41,Eggerthellaceae,0.41,Slackia,0.41
Otu649,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.78,Mediterraneibacter,0.35
Otu645,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.99,Anaerotignum,0.82
Otu646,Bacteria,1,Bacteroidetes,0.99,Sphingobacteriia,0.61,Sphingobacteriales,0.61,Sphingobacteriaceae,0.61,Olivibacter,0.61
Otu650,Bacteria,1,Firmicutes,0.49,Clostridia,0.49,Clostridiales,0.49,Bacteroidaceae,0.47,Bacteroides,0.47
Otu651,Bacteria,1,Bacteroidetes,0.98,Bacteroidia,0.96,Bacteroidales,0.96,Bacteroidaceae,0.85,Phocaeicola,0.53
Otu655,Bacteria,0.87,Proteobacteria,0.38,Deltaproteobacteria,0.2,Lactobacillales,0.1,Desulfovibrionaceae,0.1,Spartobacteria_genera_incertae_sedis,0.19
Otu653,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.71,Enterocloster,0.35
Otu654,Bacteria,0.99,Firmicutes,0.5,Bacilli,0.43,Bacillales,0.26,Lactobacillaceae,0.17,Gp6,0.26
Otu652,Bacteria,1,Firmicutes,0.66,Clostridia,0.37,Clostridiales,0.37,Clostridiaceae_1,0.3,Clostridium_sensu_stricto,0.3
Otu656,Bacteria,1,Firmicutes,0.64,Bacilli,0.59,Lactobacillales,0.52,Streptococcaceae,0.44,Lactococcus,0.38
Otu657,Bacteria,0.66,Euryarchaeota,0.25,Halobacteria,0.22,Halobacteriales,0.16,Streptomycetaceae,0.1,Streptomyces,0.1
Otu658,Bacteria,0.99,Proteobacteria,0.73,Gammaproteobacteria,0.5,Oceanospirillales,0.34,Oceanospirillaceae,0.34,Marinobacterium,0.34
Otu659,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.53,Caproiciproducens,0.19
Otu661,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Peptostreptococcaceae,1,Romboutsia,1
Otu660,Bacteria,1,Firmicutes,0.84,Clostridia,0.67,Clostridiales,0.67,Ruminococcaceae,0.36,Flintibacter,0.33
Otu663,Bacteria,0.56,Euryarchaeota,0.44,Methanobacteria,0.26,Methanobacteriales,0.26,Methanobacteriaceae,0.26,Methanobacterium,0.25
Otu666,Bacteria,1,Verrucomicrobia,0.23,Spartobacteria,0.22,Pirellulales,0.15,Thermoguttaceae,0.15,Spartobacteria_genera_incertae_sedis,0.22
Otu665,Bacteria,0.96,Bacteroidetes,0.44,Bacteroidia,0.2,Bacteroidales,0.2,Flavobacteriaceae,0.1,Gordonia,0.06
Otu667,Bacteria,0.98,Firmicutes,0.46,Clostridia,0.26,Clostridiales,0.22,Peptostreptococcaceae,0.19,Peptostreptococcaceae_incertae_sedis,0.14
Otu662,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,0.94,Lactobacillaceae,0.94,Amylolactobacillus,0.92
Otu664,Bacteria,1,Firmicutes,0.96,Bacilli,0.96,Lactobacillales,0.96,Streptococcaceae,0.51,Lactococcus,0.49
Otu670,Bacteria,0.97,Bacteroidetes,0.62,Cytophagia,0.48,Cytophagales,0.48,Reichenbachiellaceae,0.2,Reichenbachiella,0.2
Otu673,Bacteria,0.91,Firmicutes,0.44,Clostridia,0.34,Clostridiales,0.33,Metamycoplasmataceae,0.16,Mycoplasmopsis,0.15
Otu672,Bacteria,0.98,Firmicutes,0.3,Bacilli,0.16,Bacillales,0.16,Sphingobacteriaceae,0.14,Mucilaginibacter,0.14
Otu668,Bacteria,1,Firmicutes,0.92,Clostridia,0.9,Clostridiales,0.9,Ruminococcaceae,0.72,Acetivibrio,0.34
Otu674,Bacteria,0.98,Proteobacteria,0.45,Gammaproteobacteria,0.24,Desulfovibrionales,0.15,Bacillaceae_2,0.09,Allobacillus,0.09
Otu671,Bacteria,1,Bacteroidetes,0.43,Bacteroidia,0.41,Bacteroidales,0.41,Muribaculaceae,0.25,Duncaniella,0.24
Otu669,Bacteria,1,Firmicutes,0.3,Bacilli,0.24,Lactobacillales,0.15,Lactobacillaceae,0.15,Acholeplasma,0.11
Otu675,Bacteria,1,Bacteroidetes,1,Flavobacteriia,0.92,Flavobacteriales,0.92,Weeksellaceae,0.87,Apibacter,0.81
Otu676,Bacteria,0.84,Bacteroidetes,0.2,Cytophagia,0.13,Cytophagales,0.13,Thermodesulfobacteriaceae,0.09,Prochlorococcus,0.09
Otu677,Bacteria,0.96,Bacteroidetes,0.28,Cytophagia,0.22,Cytophagales,0.22,Cytophagaceae,0.1,Dyadobacter,0.07
Otu678,Bacteria,1,Firmicutes,0.79,Clostridia,0.49,Clostridiales,0.49,Lachnospiraceae,0.33,Clostridium_XlVa,0.29
Otu679,Bacteria,0.95,Proteobacteria,0.25,Bacilli,0.2,Burkholderiales,0.14,Thermogemmatisporaceae,0.09,Thermogemmatispora,0.09
Otu682,Bacteria,0.94,Bacteroidetes,0.41,Flavobacteriia,0.18,Flavobacteriales,0.18,Flavobacteriaceae,0.18,Aquimarina,0.1
Otu681,Bacteria,1,Firmicutes,0.77,Bacilli,0.77,Lactobacillales,0.77,Lactobacillaceae,0.77,Lactobacillus,0.63
Otu685,Bacteria,0.87,Firmicutes,0.42,Bacilli,0.3,Bacillales,0.28,Sporolactobacillaceae,0.19,Sporolactobacillus,0.19
Otu680,Bacteria,1,Firmicutes,1,Bacilli,0.97,Lactobacillales,0.97,Lactobacillaceae,0.6,Lacticaseibacillus,0.43
Otu686,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.99,Anaerocolumna,0.32
Otu683,Bacteria,1,Firmicutes,0.96,Clostridia,0.96,Clostridiales,0.96,Clostridiales_Incertae_Sedis_XVII,0.78,Sulfobacillus,0.78
Otu689,Bacteria,0.79,Acidobacteria,0.37,Acidobacteria_Gp6,0.36,Halobacteriales,0.1,Halobacteriaceae,0.1,Gp6,0.36
Otu684,Bacteria,1,Firmicutes,0.96,Bacilli,0.94,Lactobacillales,0.51,Lactobacillaceae,0.51,Amylolactobacillus,0.31
Otu690,Bacteria,0.78,Euryarchaeota,0.22,Actinobacteria,0.2,Methanosarcinales,0.14,Methanosarcinaceae,0.14,Methanimicrococcus,0.14
Otu687,Bacteria,1,Firmicutes,0.86,Clostridia,0.74,Clostridiales,0.74,Ruminococcaceae,0.71,Oscillibacter,0.66
Otu688,Bacteria,1,Firmicutes,1,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.73,Roseburia,0.31
Otu691,Bacteria,1,Firmicutes,0.97,Clostridia,0.97,Clostridiales,0.97,Lachnospiraceae,0.97,Sellimonas,0.31
Otu693,Bacteria,0.72,Euryarchaeota,0.21,Actinobacteria,0.19,Thermococcales,0.17,Thermococcaceae,0.17,Thermococcus,0.17
Otu692,Bacteria,0.99,Firmicutes,0.73,Clostridia,0.68,Clostridiales,0.68,Lachnospiraceae,0.68,Roseburia,0.67
Otu695,Bacteria,1,Firmicutes,0.97,Clostridia,0.78,Clostridiales,0.78,Lachnospiraceae,0.56,Moryella,0.19
Otu694,Bacteria,1,Firmicutes,0.78,Clostridia,0.78,Clostridiales,0.78,Lachnospiraceae,0.67,Coprococcus,0.22
Otu697,Bacteria,0.99,Proteobacteria,0.65,Gammaproteobacteria,0.37,Pseudomonadales,0.2,Pseudomonadaceae,0.19,Pseudomonas,0.19
Otu701,Archaea,0.55,Euryarchaeota,0.38,Thermococci,0.33,Thermococcales,0.33,Thermococcaceae,0.33,Thermococcus,0.22
Otu699,Bacteria,0.99,Firmicutes,0.81,Bacilli,0.65,Bacillales,0.37,Bacillaceae_1,0.18,Bacillus,0.14
Otu698,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Ruminococcaceae,0.73,Butyricicoccus,0.66
Otu696,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.8,Marvinbryantia,0.36
Otu703,Bacteria,1,Verrucomicrobia,0.65,Verrucomicrobiae,0.65,Verrucomicrobiales,0.65,Akkermansiaceae,0.65,Akkermansia,0.65
Otu702,Bacteria,1,Firmicutes,0.9,Clostridia,0.9,Clostridiales,0.9,Ruminococcaceae,0.88,Acutalibacter,0.46
Otu700,Bacteria,1,Firmicutes,1,Bacilli,0.9,Bacillales,0.75,Listeriaceae,0.74,Listeria,0.74
Otu706,Bacteria,0.98,Proteobacteria,0.3,Bacteroidia,0.25,Bacteroidales,0.25,Prevotellaceae,0.23,Alloprevotella,0.19
Otu708,Bacteria,0.97,Proteobacteria,0.51,Gammaproteobacteria,0.28,Deinococcales,0.14,Deinococcaceae,0.14,Deinococcus,0.14
Otu704,Bacteria,1,Actinobacteria,0.53,Coriobacteriia,0.53,Eggerthellales,0.42,Eggerthellaceae,0.42,Acholeplasma,0.24
Otu709,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Mediterraneibacter,0.58
Otu705,Bacteria,1,Firmicutes,0.79,Erysipelotrichia,0.47,Erysipelotrichales,0.47,Erysipelotrichaceae,0.47,Clostridium_XVIII,0.32
Otu711,Bacteria,0.92,Proteobacteria,0.54,Betaproteobacteria,0.38,Burkholderiales,0.33,Comamonadaceae,0.32,Piscinibacter,0.29
Otu710,Bacteria,1,Firmicutes,0.81,Clostridia,0.81,Clostridiales,0.81,Lachnospiraceae,0.79,Cellulosilyticum,0.79
Otu707,Bacteria,1,Firmicutes,0.99,Erysipelotrichia,0.98,Erysipelotrichales,0.98,Erysipelotrichaceae,0.98,Faecalibaculum,0.58
Otu716,Bacteria,0.87,Proteobacteria,0.37,Gammaproteobacteria,0.14,Enterobacterales,0.13,Erwiniaceae,0.11,Buchnera,0.11
Otu714,Bacteria,1,Bacteroidetes,0.52,Bacilli,0.48,Lactobacillales,0.48,Lactobacillaceae,0.48,Lactobacillus,0.42
Otu713,Bacteria,1,Firmicutes,0.93,Clostridia,0.37,Clostridiales,0.37,Erysipelotrichaceae,0.26,Erysipelothrix,0.2
Otu712,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Streptococcaceae,0.99,Lactococcus,0.57
Otu715,Bacteria,1,Firmicutes,0.81,Bacilli,0.78,Lactobacillales,0.76,Lactobacillaceae,0.69,Leuconostoc,0.41
Otu717,Bacteria,1,Firmicutes,0.93,Clostridia,0.93,Clostridiales,0.93,Lachnospiraceae,0.91,Eisenbergiella,0.58
Otu719,Bacteria,1,Firmicutes,0.87,Clostridia,0.53,Clostridiales,0.53,Lachnospiraceae,0.32,Tetragenococcus,0.21
Otu718,Bacteria,1,Tenericutes,0.73,Mollicutes,0.73,Acholeplasmatales,0.73,Acholeplasmataceae,0.73,Acholeplasma,0.73
Otu721,Bacteria,0.95,Proteobacteria,0.56,Alphaproteobacteria,0.45,Rhodospirillales,0.29,Rhodospirillaceae,0.23,Novispirillum,0.21
Otu723,Bacteria,0.94,Proteobacteria,0.29,Gammaproteobacteria,0.14,Clostridiales,0.13,Verrucomicrobiaceae,0.11,Luteolibacter,0.08
Otu720,Bacteria,1,Firmicutes,0.94,Bacilli,0.51,Lactobacillales,0.5,Streptococcaceae,0.49,Streptococcus,0.45
Otu725,Bacteria,0.92,Proteobacteria,0.31,Actinobacteria,0.17,Rhodocyclales,0.12,Rhodocyclaceae,0.12,Propionivibrio,0.12
Otu722,Bacteria,1,Firmicutes,0.95,Bacilli,0.54,Lactobacillales,0.54,Streptococcaceae,0.52,Streptococcus,0.49
Otu726,Bacteria,0.84,Acidobacteria,0.22,Acidobacteria_Gp10,0.22,Acidilobales,0.15,Caldisphaeraceae,0.15,Gp10,0.22
Otu730,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Mediterraneibacter,0.37
Otu724,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Peptostreptococcaceae,0.94,Proteocatella,0.56
Otu729,Bacteria,1,Bacteroidetes,0.95,Cytophagia,0.75,Cytophagales,0.75,Cytophagaceae,0.75,Fluviimonas,0.28
Otu734,Bacteria,1,Bacteroidetes,0.3,Sphingobacteriia,0.16,Sphingobacteriales,0.16,Sphingobacteriaceae,0.16,Pedobacter,0.1
Otu727,Bacteria,1,Firmicutes,0.9,Clostridia,0.87,Clostridiales,0.87,Lachnospiraceae,0.81,Lachnospiracea_incertae_sedis,0.41
Otu735,Archaea,1,Thaumarchaeota,0.95,Thermoprotei,0.05,Nitrososphaerales,0.95,Nitrososphaeraceae,0.95,Nitrososphaera,0.95
Otu731,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Gemmiger,0.71
Otu733,Bacteria,1,Bacteroidetes,0.71,Bacteroidia,0.35,Bacteroidales,0.35,Marinilabiliaceae,0.17,Brassicibacter,0.16
Otu728,Bacteria,1,Actinobacteria,0.45,Clostridia,0.39,Clostridiales,0.39,Lachnospiraceae,0.33,Anaerosporobacter,0.28
Otu737,Bacteria,0.61,Euryarchaeota,0.26,Halobacteria,0.23,Halobacteriales,0.21,Haloarculaceae,0.14,Halorientalis,0.13
Otu732,Bacteria,1,Firmicutes,0.97,Bacilli,0.9,Bacillales,0.68,Thermoactinomycetaceae_1,0.6,Shimazuella,0.6
Otu739,Bacteria,0.98,Proteobacteria,0.76,Gammaproteobacteria,0.55,Thiotrichales,0.39,Piscirickettsiaceae,0.37,Methylophaga,0.37
Otu738,Bacteria,1,Firmicutes,0.9,Clostridia,0.89,Clostridiales,0.89,Lachnospiraceae,0.86,Muricomes,0.49
Otu740,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.96,Bacteroidales,0.96,Bacteroidaceae,0.9,Phocaeicola,0.85
Otu736,Bacteria,1,Synergistetes,1,Synergistia,1,Synergistales,1,Synergistaceae,1,Cloacibacillus,1
Otu743,Bacteria,0.93,Proteobacteria,0.3,Gammaproteobacteria,0.19,Pseudomonadales,0.19,Pseudomonadaceae,0.19,Pseudomonas,0.19
Otu741,Bacteria,1,Firmicutes,0.59,Clostridia,0.55,Clostridiales,0.55,Lachnospiraceae,0.45,Bifidobacterium,0.14
Otu745,Bacteria,1,Firmicutes,0.92,Clostridia,0.91,Clostridiales,0.91,Ruminococcaceae,0.62,Ruminococcus,0.36
Otu744,Bacteria,1,Firmicutes,0.87,Bacilli,0.81,Lactobacillales,0.66,Lactobacillaceae,0.66,Lactobacillus,0.65
Otu747,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.97,Bacteroidales,0.97,Bacteroidaceae,0.93,Phocaeicola,0.86
Otu742,Bacteria,1,Firmicutes,0.88,Bacilli,0.88,Lactobacillales,0.84,Lactobacillaceae,0.84,Amylolactobacillus,0.55
Otu746,Bacteria,1,Firmicutes,1,Clostridia,0.93,Clostridiales,0.93,Lachnospiraceae,0.9,Lachnobacterium,0.43
Otu749,Bacteria,0.96,Proteobacteria,0.7,Betaproteobacteria,0.24,Burkholderiales,0.21,Alcaligenaceae,0.17,Bordetella,0.09
Otu751,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.99,Lachnobacterium,0.44
Otu750,Bacteria,1,Firmicutes,0.99,Bacilli,0.96,Lactobacillales,0.94,Lactobacillaceae,0.94,Amylolactobacillus,0.65
Otu748,Bacteria,0.98,Firmicutes,0.3,Acidobacteria_Gp1,0.15,Lactobacillales,0.1,Veillonellaceae,0.08,Gp1,0.15
Otu752,Bacteria,1,Firmicutes,0.46,Clostridia,0.46,Clostridiales,0.46,Ruminococcaceae,0.46,Adlercreutzia,0.45
Otu754,Bacteria,0.85,Proteobacteria,0.36,Deinococci,0.26,Deinococcales,0.24,Deinococcaceae,0.24,Deinococcus,0.24
Otu757,Bacteria,0.95,Actinobacteria,0.31,Actinobacteria,0.23,Halanaerobiales,0.14,Halobacteroidaceae,0.14,Halonatronum,0.14
Otu753,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.98,Marvinbryantia,0.87
Otu755,Bacteria,1,Bacteroidetes,0.95,Bacteroidia,0.69,Bacteroidales,0.69,Porphyromonadaceae,0.29,Parabacteroides,0.26
Otu762,Bacteria,0.79,Proteobacteria,0.31,Gammaproteobacteria,0.14,Sulfolobales,0.13,Sulfolobaceae,0.13,Sulfolobus,0.09
Otu761,Bacteria,0.71,Euryarchaeota,0.29,Methanomicrobia,0.29,Methanomicrobiales,0.28,Family_IV,0.18,GpIV,0.18
Otu756,Bacteria,1,Proteobacteria,0.51,Alphaproteobacteria,0.43,Bacillales,0.32,Alicyclobacillaceae,0.32,Alicyclobacillus,0.32
Otu758,Bacteria,1,Actinobacteria,0.76,Coriobacteriia,0.76,Coriobacteriales,0.46,Coriobacteriaceae,0.46,Collinsella,0.46
Otu763,Archaea,1,Euryarchaeota,1,Methanobacteria,1,Methanobacteriales,1,Methanobacteriaceae,1,Methanobrevibacter,1
Otu759,Bacteria,1,Firmicutes,0.49,Alphaproteobacteria,0.33,Rhizobiales,0.21,Erysipelotrichaceae,0.18,Ileibacterium,0.17
Otu766,Bacteria,0.91,Proteobacteria,0.4,Alphaproteobacteria,0.22,Burkholderiales,0.14,Spirochaetaceae,0.12,Treponema,0.12
Otu764,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Enterocloster,0.54
Otu760,Bacteria,1,Firmicutes,0.71,Bacilli,0.48,Lactobacillales,0.42,Lactobacillaceae,0.4,Limosilactobacillus,0.39
Otu770,Bacteria,0.92,Proteobacteria,0.31,Gammaproteobacteria,0.22,Flavobacteriales,0.19,Flavobacteriaceae,0.13,Shewanella,0.09
Otu769,Bacteria,0.95,Firmicutes,0.53,Clostridia,0.26,Clostridiales,0.25,Clostridiaceae_1,0.16,Paenibacillus,0.1
Otu767,Bacteria,1,Firmicutes,0.98,Clostridia,0.98,Clostridiales,0.98,Lachnospiraceae,0.95,Roseburia,0.93
Otu771,Bacteria,1,Firmicutes,0.54,Bacilli,0.5,Lactobacillales,0.44,Streptococcaceae,0.41,Lactococcus,0.35
Otu765,Bacteria,1,Firmicutes,1,Erysipelotrichia,0.79,Erysipelotrichales,0.79,Erysipelotrichaceae,0.79,Clostridium_XVIII,0.74
Otu768,Eukaryota,0.51,Plantae,0.51,Liliopsida,0.51,Poales,0.51,Poaceae,0.51,Zea,0.51
Otu775,Bacteria,0.93,Proteobacteria,0.59,Alphaproteobacteria,0.4,Sneathiellales,0.27,Sneathiellaceae,0.27,Sneathiella,0.27
Otu773,Bacteria,1,Firmicutes,0.9,Clostridia,0.9,Clostridiales,0.9,Lachnospiraceae,0.81,Cuneatibacter,0.22
Otu774,Bacteria,1,Firmicutes,0.82,Clostridia,0.79,Clostridiales,0.79,Lachnospiraceae,0.77,Johnsonella,0.22
Otu776,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,Faecalibaculum,0.81
Otu780,Bacteria,0.88,Firmicutes,0.25,Bacilli,0.15,Bacillales,0.1,Paenibacillaceae_1,0.08,Paenibacillus,0.08
Otu779,Bacteria,1,Firmicutes,0.9,Clostridia,0.9,Clostridiales,0.9,Lachnospiraceae,0.84,Clostridium_XlVa,0.67
Otu777,Bacteria,1,Firmicutes,0.82,Clostridia,0.69,Clostridiales,0.69,Lachnospiraceae,0.65,Johnsonella,0.18
Otu781,Bacteria,1,Firmicutes,0.92,Bacilli,0.77,Bacillales,0.45,Bacillaceae_1,0.33,Bacillus,0.22
Otu772,Bacteria,1,Proteobacteria,0.72,Alphaproteobacteria,0.69,Rhizobiales,0.61,Ancalomicrobiaceae,0.46,Prosthecomicrobium,0.3
Otu782,Bacteria,0.91,Firmicutes,0.34,Bacilli,0.25,Lactobacillales,0.21,Enterococcaceae,0.13,Enterococcus,0.13
Otu778,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,0.91,Lactobacillaceae,0.91,Amylolactobacillus,0.88
Otu785,Bacteria,0.76,Euryarchaeota,0.23,Methanomicrobia,0.21,Methanomicrobiales,0.21,Methanomicrobiaceae,0.2,Methanoculleus,0.2
Otu786,Bacteria,0.67,Firmicutes,0.29,Clostridia,0.17,Clostridiales,0.17,Ruminococcaceae,0.09,Butyricicoccus,0.09
Otu784,Bacteria,0.93,Bacteroidetes,0.34,Bacteroidia,0.21,Bacteroidales,0.21,Prevotellaceae,0.1,Prevotella,0.1
Otu783,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.98,Johnsonella,0.68
Otu787,Bacteria,1,Firmicutes,0.79,Clostridia,0.76,Clostridiales,0.76,Lachnospiraceae,0.46,Lachnospiracea_incertae_sedis,0.37
Otu791,Bacteria,0.9,Proteobacteria,0.34,Gammaproteobacteria,0.18,Bacteroidales,0.1,Microbacteriaceae,0.08,Legionella,0.07
Otu789,Bacteria,1,Firmicutes,0.46,Clostridia,0.46,Clostridiales,0.46,Lachnospiraceae,0.44,Caldisericum,0.26
Otu788,Bacteria,1,Firmicutes,0.93,Clostridia,0.93,Clostridiales,0.93,Lachnospiraceae,0.74,Anaerostipes,0.62
Otu792,Bacteria,0.98,Proteobacteria,0.43,Gammaproteobacteria,0.3,Alteromonadales,0.09,Alteromonadaceae,0.09,Gp10,0.15
Otu790,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.89,Bacteroidales,0.89,Porphyromonadaceae,0.72,Parabacteroides,0.71
Otu794,Bacteria,1,Firmicutes,0.4,Actinobacteria,0.31,Clostridiales,0.21,Propionibacteriaceae,0.19,Mediterraneibacter,0.11
Otu797,Bacteria,0.99,Proteobacteria,0.53,Gammaproteobacteria,0.36,Pseudomonadales,0.19,Pseudomonadaceae,0.19,Pseudomonas,0.19
Otu799,Bacteria,0.61,Proteobacteria,0.21,Thermoprotei,0.21,Desulfurococcales,0.19,Desulfurococcaceae,0.19,Ignisphaera,0.17
Otu793,Bacteria,1,Firmicutes,0.94,Clostridia,0.66,Clostridiales,0.66,Clostridiaceae_1,0.66,Clostridium_sensu_stricto,0.62
Otu798,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.97,Bacteroidales,0.97,Prevotellaceae,0.86,Prevotella,0.46
Otu802,Bacteria,0.96,Proteobacteria,0.29,Mollicutes,0.16,Acholeplasmatales,0.11,Acholeplasmataceae,0.11,Acholeplasma,0.11
Otu796,Bacteria,1,Firmicutes,1,Clostridia,0.98,Clostridiales,0.98,Clostridiaceae_1,0.89,Clostridium_sensu_stricto,0.88
Otu795,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Streptococcaceae,0.99,Streptococcus,0.99
Otu800,Bacteria,1,Firmicutes,0.77,Bacilli,0.42,Bacillales,0.31,Erysipelotrichaceae,0.31,Clostridium_XVIII,0.24
Otu801,Bacteria,1,Firmicutes,0.93,Clostridia,0.93,Clostridiales,0.92,Ruminococcaceae,0.88,Ruminococcus,0.36
Otu804,Bacteria,0.89,Bacteroidetes,0.39,Bacteroidia,0.18,Bacteroidales,0.18,Flavobacteriaceae,0.16,Capnocytophaga,0.09
Otu805,Bacteria,0.91,Bacteroidetes,0.3,Flavobacteriia,0.16,Flavobacteriales,0.16,Flavobacteriaceae,0.16,Flavobacterium,0.12
Otu809,Bacteria,0.98,Firmicutes,0.32,Deinococci,0.28,Thermales,0.28,Thermaceae,0.28,Thermus,0.28
Otu808,Bacteria,1,Proteobacteria,0.35,Actinobacteria,0.34,Micrococcales,0.2,Microbacteriaceae,0.12,Enterococcus,0.09
Otu803,Bacteria,1,Firmicutes,0.89,Bacilli,0.58,Lactobacillales,0.48,Lactobacillaceae,0.2,Vaginisenegalia,0.18
