,Time,Subject,Assemblage,Value,log10Value
49,2,H11,A8,0.02758204182703048,-1.5593735872758518
50,2,H11,A9,0.07361813498660923,-1.1330151889986142
51,2,H11,A10,0.03157762503065169,-1.5006205366098369
52,2,H11,A11,0.026018247527070344,-1.5847219589256334
53,2,H11,A12,0.03086273318901658,-1.5105656156563483
54,2,H11,A13,0.018200930591206997,-1.7399064065042622
55,2,H11,A14,0.005560769382864237,-2.2548651156812913
56,2,H11,A15,0.002114917501836317,-2.674706568807161
57,2,H11,A16,0.0034045487748808226,-2.4679404395705666
58,2,H11,A17,0.032158341967500746,-1.4927063508728358
59,2,H11,A18,0.001783459112077253,-2.748736842929372
60,2,H11,A19,0.0016280914338422008,-2.7883212087231883
61,2,H11,A20,0.023013570606708528,-1.6380159943479815
62,2,H11,A21,0.001866165625368012,-2.7290498145062747
63,2,H11,A22,0.019176518770866097,-1.7172302301072224
64,2,H11,A23,0.029615333464927972,-1.5284833728942926
65,2,H11,A24,0.020532265702728182,-1.687563124282596
66,2,H11,A25,0.0033787802814040334,-2.471240049028995
67,2,H11,A26,0.008373582703061402,-2.077088685942216
68,2,H11,A27,0.0491063764244318,-1.3088621114178662
69,2,H11,A28,0.002453438329481287,-2.6102248541300135
70,2,H11,A29,0.0024324486980913207,-2.613956310513177
71,2,H11,A30,0.002607537688687444,-2.583769405673935
72,2,H11,A31,0.003734213714895304,-2.4278008303227465
73,2,H11,A32,0.0020404820991971064,-2.6902672108657257
74,2,H11,A33,0.0017458306203916435,-2.7579978936187355
75,2,H11,A34,0.0015865108359284933,-2.7995569573058443
76,2,H11,A35,0.0023228725904773455,-2.6339746105915496
77,2,H11,A36,0.0020466319591214413,-2.688960248443241
78,2,H11,A37,0.019029169834218918,-1.7205801578129296
79,2,H11,A38,0.005371997303562239,-2.2698642139944494
80,2,H11,A39,0.004575192223186605,-2.339590654665182
81,2,H11,A40,0.0008580982340499759,-3.06646299179725
82,2,H11,A41,0.0054330008014803755,-2.264960230898825
83,2,H11,A42,0.007644169428851455,-2.1166696956097244
84,4,H11,A1,0.08396982786431909,-1.0758767371041953
85,4,H11,A2,0.019959371834993363,-1.6998531310290588
86,4,H11,A3,0.049828451778739694,-1.3025226065956668
87,4,H11,A4,0.0368127123452723,-1.4340021827383906
88,4,H11,A5,0.02100077173858881,-1.6777647454731173
89,4,H11,A6,0.016299339460674675,-1.787829995252284
90,4,H11,A7,0.11200932389497757,-0.9507458242262731
91,4,H11,A8,0.032613762898370625,-1.4865990904390813
92,4,H11,A9,0.06942485127598047,-1.1584850419355037
93,4,H11,A10,0.011803365434054285,-1.9279941468420638
94,4,H11,A11,0.033080627277493474,-1.4804262639148003
95,4,H11,A12,0.04449763611331582,-1.3516630598103356
96,4,H11,A13,0.043967398526147006,-1.3568692300628689
97,4,H11,A14,0.012201921383384615,-1.9135717774810053
98,4,H11,A15,0.00669325780775398,-2.1743624467238836
99,4,H11,A16,0.01193434308981523,-1.9232014811666511
100,4,H11,A17,0.020131784568540752,-1.696117725661873
101,4,H11,A18,0.0037468953209463507,-2.4263284398580054
102,4,H11,A19,0.004708644737955183,-2.327104075360206
103,4,H11,A20,0.014657856710255147,-1.8339295281231809
104,4,H11,A21,0.008139623844763265,-2.089395664633933
105,4,H11,A22,0.035411974508315326,-1.450849857083783
106,4,H11,A23,0.028047016215510666,-1.5521133344101568
107,4,H11,A24,0.03944574547559023,-1.4039998318998297
108,4,H11,A25,0.030038947277702392,-1.5223152913581464
109,4,H11,A26,0.02043020899873227,-1.689727190561293
110,4,H11,A27,0.02048138813301921,-1.6886406122430595
111,4,H11,A28,0.0026848176473286004,-2.5710852062207907
112,4,H11,A29,0.01811868603900075,-1.741873300406581
113,4,H11,A30,0.013042243907228112,-1.8846476821708253
114,4,H11,A31,0.03710260733775794,-1.430595569829361
115,4,H11,A32,0.007245672545395792,-2.139921296983945
116,4,H11,A33,0.0041178598908591085,-2.3853284342264676
117,4,H11,A34,0.00283457076898776,-2.5475126957740146
118,4,H11,A35,0.011566111059859396,-1.9368126418393992
119,4,H11,A36,0.0021537843049445654,-2.6667977921535604
120,4,H11,A37,0.026725712501443923,-1.5730707077722932
121,4,H11,A38,0.008702847285429015,-2.0603386372610113
122,4,H11,A39,0.008661245921626688,-2.062419630157359
123,4,H11,A40,0.0015301526968250982,-2.815265227953927
124,4,H11,A41,0.006488153272774071,-2.1878788991277043
125,4,H11,A42,0.017688486461061984,-1.7523093264871352
126,7,H11,A1,0.015599944601301104,-1.8068769439142536
127,7,H11,A2,0.09687934132665396,-1.0137688225814783
128,7,H11,A3,0.026472650340758266,-1.577202576615302
129,7,H11,A4,0.03922993989847601,-1.406382357223006
130,7,H11,A5,0.04531117979250848,-1.3437946297054835
131,7,H11,A6,0.006335509299999103,-2.1982184672385303
132,7,H11,A7,0.06745348147675395,-1.1709956301711226
133,7,H11,A8,0.03146453784964979,-1.5021786427762098
134,7,H11,A9,0.03256945138983428,-1.4871895567674673
135,7,H11,A10,0.01970463044475764,-1.7054317058025665
136,7,H11,A11,0.015779402159154417,-1.801909455112578
137,7,H11,A12,0.0258167473487556,-1.588098475372097
138,7,H11,A13,0.017959844429045916,-1.7456974295784875
139,7,H11,A14,0.015853363521397115,-1.7998785817862315
140,7,H11,A15,0.01378433226281777,-1.8606142670335366
141,7,H11,A16,0.019373690782114865,-1.7127876361927175
142,7,H11,A17,0.02777011198271066,-1.5564223689578718
143,7,H11,A18,0.013964705372229219,-1.854968222624262
144,7,H11,A19,0.006721644273027778,-2.172524475256759
145,7,H11,A20,0.06996986995637416,-1.1550889332520953
146,7,H11,A21,0.014015715659596025,-1.853384721729721
147,7,H11,A22,0.015112661550287157,-1.8206590436151575
148,7,H11,A23,0.009204324304359034,-2.036008087839952
149,7,H11,A24,0.029200827866792678,-1.5346048357816102
150,7,H11,A25,0.010003554716240615,-1.999845648067438
151,7,H11,A26,0.0126013342756778,-1.8995834677487076
152,7,H11,A27,0.021342397245578466,-1.6707568008415445
153,7,H11,A28,0.02916973762586713,-1.5350674772255612
154,7,H11,A29,0.02235708310175687,-1.6505848589003747
155,7,H11,A30,0.01867229481320828,-1.7288023042539975
156,7,H11,A31,0.01344348833244294,-1.8714880254070645
157,7,H11,A32,0.027322394178248943,-1.5634812474193276
158,7,H11,A33,0.027139004929922522,-1.5664060800869766
159,7,H11,A34,0.01539076142758131,-1.8127398937736654
160,7,H11,A35,0.010085581286810339,-1.996299065980817
161,7,H11,A36,0.0076468006104696545,-2.116520233846866
162,7,H11,A37,0.006678757151705213,-2.1753043477602714
163,7,H11,A38,0.016408586724661292,-1.7849288232194638
164,7,H11,A39,0.01429053662577644,-1.8449514626549508
165,7,H11,A40,0.027712106159888207,-1.5573304659587441
166,7,H11,A41,0.02965832282230258,-1.52785341195949
167,7,H11,A42,0.01452935615601018,-1.837753630305371
168,8,H11,A1,0.03151659718342125,-1.5014606790073506
169,8,H11,A2,0.1917233957052231,-0.7173248876137955
170,8,H11,A3,0.016014027949422596,-1.7954994178502417
171,8,H11,A4,0.031733072927221655,-1.4984878702028788
