,Time,Subject,Assemblage,Value,log10Value
58,2,H11,A19,0.04143378109112382,-1.3826454328112376
59,2,H11,A20,0.007095212548971176,-2.149034589993305
60,2,H11,A21,0.01747932823561132,-1.7574752621577487
61,2,H11,A22,0.014801213803701103,-1.8297026679405846
62,2,H11,A23,0.02831248336751014,-1.5480220357742431
63,2,H11,A24,0.022749249546788634,-1.6430329252954075
64,2,H11,A25,0.034877002388238904,-1.457460848916957
65,2,H11,A26,0.01864765628706664,-1.7293757443140565
66,2,H11,A27,0.010643006465397776,-1.972935674024307
67,2,H11,A28,0.011034933779155836,-1.9572302687038214
68,2,H11,A29,0.010082313608843834,-1.9964397980234274
69,2,H11,A30,0.007465606199228205,-2.126934922260339
70,2,H11,A31,0.011670753075974063,-1.932901119431253
71,2,H11,A32,0.009866386975627393,-2.005841854809034
72,2,H11,A33,0.007587000477826223,-2.119929888584241
73,2,H11,A34,0.009612940134014935,-2.0171437623116555
74,2,H11,A35,0.020791988933458926,-1.682103964660324
75,2,H11,A36,0.03739553600549698,-1.4271802374756757
76,2,H11,A37,0.0304236332224682,-1.516788923279432
77,2,H11,A38,0.023927587930113077,-1.6211010791316622
78,2,H11,A39,0.026926726361736656,-1.569816443077668
79,2,H11,A40,0.010023075370816514,-1.9989990038528582
80,3,H11,A1,0.04125329349935055,-1.3845413733808223
81,3,H11,A2,0.021116992064751684,-1.675367943274286
82,3,H11,A3,0.01350090669747442,-1.869637064061511
83,3,H11,A4,0.0760436419211328,-1.1189370918542547
84,3,H11,A5,0.006222211461747065,-2.206055233486182
85,3,H11,A6,0.02798579949978739,-1.553062281632498
86,3,H11,A7,0.11030304417014122,-0.9574125016300652
87,3,H11,A8,0.0198810107735917,-1.7015615393434247
88,3,H11,A9,0.02260476076602936,-1.6458000848934837
89,3,H11,A10,0.004608551008044742,-2.336435601319403
90,3,H11,A11,0.007251439209794625,-2.1395757894508884
91,3,H11,A12,0.011938602961134165,-1.9230464907751748
92,3,H11,A13,0.04173788433335721,-1.3794695688219634
93,3,H11,A14,0.06344888560846448,-1.1975760012815648
94,3,H11,A15,0.0077828227742575105,-2.108862858930433
95,3,H11,A16,0.02814372852630913,-1.5506183670599565
96,3,H11,A17,0.053273707708343866,-1.273487076422626
97,3,H11,A18,0.0160413613980636,-1.794758776788951
98,3,H11,A19,0.01364030737336725,-1.8651758430920606
99,3,H11,A20,0.018463641181588174,-1.7336826484274421
100,3,H11,A21,0.01757301771081984,-1.7551536532672594
101,3,H11,A22,0.04273509019613266,-1.3692153750875173
102,3,H11,A23,0.02173324819933623,-1.662875360213091
103,3,H11,A24,0.012460775824729353,-1.904454917074152
104,3,H11,A25,0.01961937852203846,-1.7073147537717748
105,3,H11,A26,0.01768953739153221,-1.7522835244069443
106,3,H11,A27,0.015839454799424856,-1.800259771084673
107,3,H11,A28,0.01258028126321733,-1.9003096490578608
108,3,H11,A29,0.017811423434875906,-1.7493013716535804
109,3,H11,A30,0.014203656623139977,-1.8475998354184433
