Otu,Domain,Phylum,Class,Order,Family,Genus
Otu1288,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Otu1289,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1285,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
Otu1290,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na
Otu1293,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter
Otu1291,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1292,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1297,Bacteria,na,na,na,na,na
Otu1294,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1281,Bacteria,Firmicutes,na,na,na,na
Otu1295,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1296,Bacteria,Proteobacteria,na,na,na,na
Otu1298,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu1302,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu1300,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Anaerorhabdus
Otu1299,Bacteria,Firmicutes,Bacilli,Bacillales,na,na
Otu1301,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1308,Bacteria,na,na,na,na,na
Otu1307,Bacteria,na,na,na,na,na
Otu1303,Bacteria,Actinobacteria,na,na,na,na
Otu1304,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Seinonella
Otu1306,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na
Otu1310,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Frisingicoccus
Otu1309,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1311,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1312,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
Otu1317,Bacteria,na,na,na,na,na
Otu1314,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1313,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu1305,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1316,Bacteria,Actinobacteria,Coriobacteriia,na,na,na
Otu1315,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1318,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter
Otu1319,Bacteria,Firmicutes,na,na,na,na
Otu1324,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1322,Bacteria,Actinobacteria,Coriobacteriia,na,na,na
Otu1320,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1326,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola
Otu1327,Bacteria,Actinobacteria,Actinobacteria,na,na,na
Otu1323,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1321,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium
Otu1325,Bacteria,na,na,na,na,na
Otu1328,Bacteria,Proteobacteria,na,na,na,na
Otu1329,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,na
Otu1334,Bacteria,na,na,na,na,na
Otu1336,Bacteria,na,na,na,na,na
Otu1332,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum
Otu1335,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerosporobacter
Otu1333,Bacteria,Firmicutes,Bacilli,Bacillales,na,na
Otu1330,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1331,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium
Otu1338,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,na
Otu1341,Bacteria,na,na,na,na,na
Otu1340,Bacteria,Actinobacteria,Coriobacteriia,na,na,na
Otu1343,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na
Otu1339,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1345,Bacteria,na,na,na,na,na
Otu1342,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1344,Bacteria,Actinobacteria,Coriobacteriia,na,na,na
Otu1337,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,na
Otu1346,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na
Otu1348,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu1347,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1349,Bacteria,Proteobacteria,na,na,na,na
Otu1352,Bacteria,Verrucomicrobia,Spartobacteria,na,na,Spartobacteria_genera_incertae_sedis
Otu1350,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu1351,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis
Otu1353,Bacteria,Firmicutes,Bacilli,na,na,na
Otu1358,Bacteria,na,na,na,na,na
Otu1357,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella
Otu1359,Bacteria,na,na,na,na,na
Otu1361,Bacteria,na,na,na,na,na
Otu1354,Bacteria,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter
Otu1356,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu1362,Bacteria,na,na,na,na,na
Otu1355,Bacteria,na,na,na,na,na
Otu1363,Bacteria,Firmicutes,Bacilli,Bacillales,na,na
Otu1360,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
Otu1366,Bacteria,na,na,na,na,na
Otu1365,Bacteria,na,na,na,na,na
Otu1369,Bacteria,na,na,na,na,na
Otu1371,Bacteria,na,na,na,na,na
Otu1367,Bacteria,na,na,na,na,na
Otu1368,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na
Otu1375,Bacteria,na,na,na,na,na
Otu1364,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,na,na
Otu1374,Bacteria,na,na,na,na,na
Otu1370,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1373,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1372,,,Bacteria,Acidobacteria,Acidobacteria_Gp16,Gp16
Otu1376,Bacteria,Proteobacteria,na,na,na,na
Otu1383,Bacteria,na,na,na,na,na
Otu1378,Bacteria,Firmicutes,Bacilli,Bacillales,na,na
Otu1379,Bacteria,Actinobacteria,Coriobacteriia,na,na,na
Otu1381,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
Otu1382,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,na,na
Otu1377,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu1380,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1384,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1385,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu1390,Bacteria,na,na,na,na,na
Otu1388,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides
Otu1389,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu1386,Bacteria,Firmicutes,Clostridia,Clostridiales,Gottschalkiaceae,Gottschalkia
Otu1393,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Thermoguttaceae,Thermostilla
Otu1387,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Seinonella
Otu1394,Bacteria,na,na,na,na,na
Otu1391,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae_1,Paenibacillus
Otu1395,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus
Otu1392,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu1397,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu1403,Bacteria,na,na,na,na,na
Otu1396,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus
Otu1399,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na
Otu1398,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Otu1401,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu1404,Bacteria,na,na,na,na,na
Otu1400,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,na
Otu1402,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
Otu1405,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu1406,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae_1,Seinonella
